"","Site","Treatment","Date","CoVariate","Genus_sp","counts","Genus","species"
"336","C","t2",2014-03-01,0.521603221,"Genus2_species10",15,"Genus2","species10"
"337","A","t2",2014-03-10,0.893642324,"Genus2_species10",55,"Genus2","species10"
"338","B","t2",2014-03-10,0.396347525,"Genus2_species10",87,"Genus2","species10"
"339","C","t2",2014-03-10,0.486592311,"Genus2_species10",56,"Genus2","species10"
"340","A","t2",2014-03-20,0.43746716,"Genus2_species10",45,"Genus2","species10"
"341","B","t2",2014-03-20,0.24226281,"Genus2_species10",15,"Genus2","species10"
"342","C","t2",2014-03-20,0.30355642,"Genus2_species10",29,"Genus2","species10"
"343","A","t3",2014-03-01,0.677370009,"Genus2_species10",52,"Genus2","species10"
"344","B","t3",2014-03-01,0.308343936,"Genus2_species10",24,"Genus2","species10"
"345","C","t3",2014-03-01,0.310056235,"Genus2_species10",1,"Genus2","species10"
"346","A","t3",2014-03-10,0.134521286,"Genus2_species10",28,"Genus2","species10"
"347","B","t3",2014-03-10,0.467969675,"Genus2_species10",16,"Genus2","species10"
"348","C","t3",2014-03-10,0.060903516,"Genus2_species10",23,"Genus2","species10"
"349","A","t3",2014-03-20,0.906462265,"Genus2_species10",22,"Genus2","species10"
"350","B","t3",2014-03-20,0.010874136,"Genus2_species10",64,"Genus2","species10"
"351","C","t3",2014-03-20,0.24300409,"Genus2_species10",75,"Genus2","species10"
"352","A","t4",2014-03-01,0.014303797,"Genus2_species10",95,"Genus2","species10"
"353","B","t4",2014-03-01,NA,"Genus2_species10",78,"Genus2","species10"
"354","C","t4",2014-03-01,0.21366758,"Genus2_species10",360,"Genus2","species10"
"355","A","t4",2014-03-10,0.439723332,"Genus2_species10",43,"Genus2","species10"
"356","B","t4",2014-03-10,0.359221985,"Genus2_species10",93,"Genus2","species10"
"357","C","t4",2014-03-10,0.843256329,"Genus2_species10",19,"Genus2","species10"
"358","A","t4",2014-03-20,0.135976428,"Genus2_species10",65,"Genus2","species10"
"359","B","t4",2014-03-20,0.449035328,"Genus2_species10",24,"Genus2","species10"
"360","C","t4",2014-03-20,0.497186568,"Genus2_species10",23,"Genus2","species10"
"361","A","t1",2014-03-01,0.094908377,"Genus_species11",68,"Genus2","species11"
"362","B","t1",2014-03-01,0.709475629,"Genus_species11",14,"Genus2","species11"
"363","C","t1",2014-03-01,0.790470763,"Genus_species11",78,"Genus2","species11"
"364","A","t1",2014-03-10,0.973471218,"Genus_species11",45,"Genus2","species11"
"365","B","t1",2014-03-10,0.527095676,"Genus_species11",35,"Genus2","species11"
"366","C","t1",2014-03-10,0.555124325,"Genus_species11",46,"Genus2","species11"
"367","A","t1",2014-03-20,0.717515678,"Genus_species11",97,"Genus2","species11"
"368","B","t1",2014-03-20,0.278946669,"Genus_species11",11,"Genus2","species11"
"369","C","t1",2014-03-20,0.246075887,"Genus_species11",39,"Genus2","species11"
"370","A","t2",2014-03-01,0.84003337,"Genus_species11",21,"Genus2","species11"
"371","B","t2",2014-03-01,0.21261837,"Genus_species11",12,"Genus2","species11"
"372","C","t2",2014-03-01,0.521603221,"Genus_species11",8,"Genus2","species11"
"373","A","t2",2014-03-10,0.893642324,"Genus_species11",36,"Genus2","species11"
"374","B","t2",2014-03-10,0.396347525,"Genus_species11",0,"Genus2","species11"
"375","C","t2",2014-03-10,0.486592311,"Genus_species11",32,"Genus2","species11"
"376","A","t2",2014-03-20,0.43746716,"Genus_species11",97,"Genus2","species11"
"377","B","t2",2014-03-20,0.24226281,"Genus_species11",0,"Genus2","species11"
"378","C","t2",2014-03-20,0.30355642,"Genus_species11",32,"Genus2","species11"
"379","A","t3",2014-03-01,0.677370009,"Genus_species11",21,"Genus2","species11"
"380","B","t3",2014-03-01,0.308343936,"Genus_species11",65,"Genus2","species11"
"381","C","t3",2014-03-01,0.310056235,"Genus_species11",76,"Genus2","species11"
"382","A","t3",2014-03-10,0.134521286,"Genus_species11",46,"Genus2","species11"
"383","B","t3",2014-03-10,0.467969675,"Genus_species11",5,"Genus2","species11"
"384","C","t3",2014-03-10,0.060903516,"Genus_species11",4,"Genus2","species11"
"385","A","t3",2014-03-20,0.906462265,"Genus_species11",99,"Genus2","species11"
"386","B","t3",2014-03-20,0.010874136,"Genus_species11",32,"Genus2","species11"
"387","C","t3",2014-03-20,0.24300409,"Genus_species11",63,"Genus2","species11"
"388","A","t4",2014-03-01,0.014303797,"Genus_species11",59,"Genus2","species11"
"389","B","t4",2014-03-01,NA,"Genus_species11",42,"Genus2","species11"
"390","C","t4",2014-03-01,0.21366758,"Genus_species11",60,"Genus2","species11"
"391","A","t4",2014-03-10,0.439723332,"Genus_species11",33,"Genus2","species11"
"392","B","t4",2014-03-10,0.359221985,"Genus_species11",18,"Genus2","species11"
"393","C","t4",2014-03-10,0.843256329,"Genus_species11",13,"Genus2","species11"
"394","A","t4",2014-03-20,0.135976428,"Genus_species11",45,"Genus2","species11"
"395","B","t4",2014-03-20,0.449035328,"Genus_species11",0,"Genus2","species11"
"396","C","t4",2014-03-20,0.497186568,"Genus_species11",39,"Genus2","species11"
"397","A","t1",2014-03-01,0.094908377,"Genus3_species12",71,"Genus3","species12"
"398","B","t1",2014-03-01,0.709475629,"Genus3_species12",91,"Genus3","species12"
"399","C","t1",2014-03-01,0.790470763,"Genus3_species12",41,"Genus3","species12"
"400","A","t1",2014-03-10,0.973471218,"Genus3_species12",13,"Genus3","species12"
"401","B","t1",2014-03-10,0.527095676,"Genus3_species12",6,"Genus3","species12"
"402","C","t1",2014-03-10,0.555124325,"Genus3_species12",0,"Genus3","species12"
"403","A","t1",2014-03-20,0.717515678,"Genus3_species12",15,"Genus3","species12"
"404","B","t1",2014-03-20,0.278946669,"Genus3_species12",89,"Genus3","species12"
"405","C","t1",2014-03-20,0.246075887,"Genus3_species12",33,"Genus3","species12"
"406","A","t2",2014-03-01,0.84003337,"Genus3_species12",46,"Genus3","species12"
"407","B","t2",2014-03-01,0.21261837,"Genus3_species12",81,"Genus3","species12"
"408","C","t2",2014-03-01,0.521603221,"Genus3_species12",53,"Genus3","species12"
"409","A","t2",2014-03-10,0.893642324,"Genus3_species12",22,"Genus3","species12"
"410","B","t2",2014-03-10,0.396347525,"Genus3_species12",49,"Genus3","species12"
"411","C","t2",2014-03-10,0.486592311,"Genus3_species12",38,"Genus3","species12"
"412","A","t2",2014-03-20,0.43746716,"Genus3_species12",67,"Genus3","species12"
"413","B","t2",2014-03-20,0.24226281,"Genus3_species12",4,"Genus3","species12"
"414","C","t2",2014-03-20,0.30355642,"Genus3_species12",57,"Genus3","species12"
"415","A","t3",2014-03-01,0.677370009,"Genus3_species12",81,"Genus3","species12"
"416","B","t3",2014-03-01,0.308343936,"Genus3_species12",45,"Genus3","species12"
"417","C","t3",2014-03-01,0.310056235,"Genus3_species12",85,"Genus3","species12"
"418","A","t3",2014-03-10,0.134521286,"Genus3_species12",28,"Genus3","species12"
"419","B","t3",2014-03-10,0.467969675,"Genus3_species12",98,"Genus3","species12"
"420","C","t3",2014-03-10,0.060903516,"Genus3_species12",93,"Genus3","species12"
"421","A","t3",2014-03-20,0.906462265,"Genus3_species12",74,"Genus3","species12"
"422","B","t3",2014-03-20,0.010874136,"Genus3_species12",90,"Genus3","species12"
"423","C","t3",2014-03-20,0.24300409,"Genus3_species12",36,"Genus3","species12"
"424","A","t4",2014-03-01,0.014303797,"Genus3_species12",75,"Genus3","species12"
"425","B","t4",2014-03-01,NA,"Genus3_species12",20,"Genus3","species12"
"426","C","t4",2014-03-01,0.21366758,"Genus3_species12",75,"Genus3","species12"
"427","A","t4",2014-03-10,0.439723332,"Genus3_species12",72,"Genus3","species12"
"428","B","t4",2014-03-10,0.359221985,"Genus3_species12",18,"Genus3","species12"
"429","C","t4",2014-03-10,0.843256329,"Genus3_species12",9,"Genus3","species12"
"430","A","t4",2014-03-20,0.135976428,"Genus3_species12",23,"Genus3","species12"
"431","B","t4",2014-03-20,0.449035328,"Genus3_species12",66,"Genus3","species12"
"432","C","t4",2014-03-20,0.497186568,"Genus3_species12",47,"Genus3","species12"
